field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr,
081,35,7,2002,2022,6,0,0,,
081,35,8,2002,2022,6,0,0,,
081,35,9,2002,2022,6,1,5,,
081,35,10,2002,2022,6,1,4,,
081,35,12,2002,2022,6,2,30,,
081,35,13,2002,2022,6,1,6,,
081,35,14,2002,2022,6,2,23,,
081,35,15,2002,2022,6,2,25,,
081,35,16,2002,2022,6,1,5,,
081,35,17,2002,2022,6,2,21,,
081,35,18,2002,2022,6,2,30,,
081,35,20,2002,2022,6,1,7,,
081,35,21,2002,2022,6,1,12,,
081,35,22,2002,2022,6,2,10,,
081,35,23,2002,2022,6,1,2,,
081,35,24,2002,2022,6,2,16,,
081,36,2,2002,2022,6,0,0,,
081,36,3,2002,2022,6,1,5,,
081,36,4,2002,2022,6,1,6,,
081,36,5,2002,2022,6,0,0,,
081,36,7,2002,2022,6,0,0,,
081,36,9,2002,2022,6,1,17,,
081,36,10,2002,2022,6,2,26,,
081,36,11,2002,2022,6,0,0,,
081,36,13,2002,2022,6,0,0,,
081,36,14,2002,2022,6,1,8,,
081,36,15,2002,2022,6,2,20,,
081,36,16,2002,2022,6,2,20,,
081,36,17,2002,2022,6,0,0,,
081,36,18,2002,2022,6,2,16,,
081,36,19,2002,2022,6,0,0,,
081,36,21,2002,2022,6,0,0,,
081,36,22,2002,2022,6,0,0,,
081,36,23,2002,2022,6,0,0,,
081,36,24,2002,2022,6,1,5,,
081,36,25,2002,2022,6,1,8,,
081,37,1,2002,2022,6,0,0,,
081,37,2,2002,2022,6,1,6,,
081,37,3,2002,2022,6,0,0,,
081,37,4,2002,2022,6,1,4,,
081,37,5,2002,2022,6,1,8,,
081,37,6,2002,2022,6,0,0,,
081,37,7,2002,2022,6,0,0,,
081,37,8,2002,2022,6,2,20,,
081,37,9,2002,2022,6,0,0,,
081,37,10,2002,2022,6,3,36,,
081,37,11,2002,2022,6,1,11,,
081,37,12,2002,2022,6,2,24,,
081,37,13,2002,2022,6,2,17,,
081,37,14,2002,2022,6,1,10,,
081,37,15,2002,2022,6,0,0,,
081,37,16,2002,2022,6,1,3,,
081,37,17,2002,2022,6,2,16,,
081,37,18,2002,2022,6,1,7,,
081,37,19,2002,2022,6,2,21,,
081,37,20,2002,2022,6,1,12,,
081,37,21,2002,2022,6,2,20,,
081,37,22,2002,2022,6,2,26,,
081,37,23,2002,2022,6,1,2,,
081,37,24,2002,2022,6,0,0,,
081,37,25,2002,2022,6,0,0,,
081,38,1,2002,2022,6,2,26,,
081,38,2,2002,2022,6,1,6,,
081,38,4,2002,2022,6,2,21,,
081,38,5,2002,2022,6,0,0,,
081,38,6,2002,2022,6,0,0,,
081,38,7,2002,2022,6,0,0,,
081,38,8,2002,2022,6,0,0,,
081,38,9,2002,2022,6,1,6,,
081,38,10,2002,2022,6,0,0,,
081,38,11,2002,2022,6,2,32,,
081,38,12,2002,2022,6,1,16,,
081,38,13,2002,2022,6,0,0,,
081,38,14,2002,2022,6,0,0,,
