field,row,tree,yplant,year,month,nb_bunch,nb_fr,nb_abfr
095,26,15,2005,2022,1,0,0,
095,26,16,2005,2022,1,1,3,
095,26,17,2005,2022,1,1,12,
095,26,18,2005,2022,1,1,10,
095,26,19,2005,2022,1,0,0,
095,26,20,2005,2022,1,0,0,
095,26,21,2005,2022,1,1,6,
095,26,22,2005,2022,1,1,2,
095,26,23,2005,2022,1,2,18,
095,26,24,2005,2022,1,2,20,
095,26,25,2005,2022,1,0,0,
095,27,1,2005,2022,1,2,22,
095,27,2,2005,2022,1,0,0,
095,27,3,2005,2022,1,0,0,
095,27,4,2005,2022,1,0,0,
095,27,5,2005,2022,1,0,0,
095,27,6,2005,2022,1,0,0,
095,27,7,2005,2022,1,2,20,
095,27,8,2005,2022,1,1,8,
095,27,9,2005,2022,1,2,18,
095,27,10,2005,2022,1,3,48,
095,27,11,2005,2022,1,2,18,
095,27,12,2005,2022,1,3,35,
095,27,14,2005,2022,1,1,9,
095,27,15,2005,2022,1,1,10,
095,27,16,2005,2022,1,0,0,
095,27,17,2005,2022,1,1,11,
095,27,18,2005,2022,1,0,0,
095,27,19,2005,2022,1,2,31,
095,27,20,2005,2022,1,3,46,
095,27,21,2005,2022,1,0,0,
095,27,22,2005,2022,1,1,6,
095,27,23,2005,2022,1,0,0,
095,27,24,2005,2022,1,0,0,
095,27,25,2005,2022,1,0,0,
095,27,26,2005,2022,1,0,0,
095,28,1,2005,2022,1,1,5,
095,28,2,2005,2022,1,0,0,
095,28,3,2005,2022,1,1,11,
095,28,4,2005,2022,1,0,0,
095,28,5,2005,2022,1,0,0,
095,28,6,2005,2022,1,3,41,
095,28,7,2005,2022,1,3,44,
095,28,8,2005,2022,1,0,0,
095,28,9,2005,2022,1,0,0,
095,28,10,2005,2022,1,0,0,
095,28,11,2005,2022,1,1,17,
095,28,12,2005,2022,1,1,6,
095,28,13,2005,2022,1,2,25,
095,28,14,2005,2022,1,2,18,
095,28,15,2005,2022,1,0,0,
095,28,16,2005,2022,1,1,12,
095,28,17,2005,2022,1,0,0,
095,28,18,2005,2022,1,3,46,
095,28,19,2005,2022,1,0,0,
095,28,20,2005,2022,1,3,36,
095,28,21,2005,2022,1,1,7,
095,28,22,2005,2022,1,0,0,
095,28,23,2005,2022,1,2,24,
095,28,24,2005,2022,1,2,30,
095,28,25,2005,2022,1,0,0,
095,28,26,2005,2022,1,0,0,
095,29,1,2005,2022,1,2,26,
095,29,2,2005,2022,1,4,48,
095,29,3,2005,2022,1,2,27,
095,29,4,2005,2022,1,4,46,
095,29,5,2005,2022,1,2,25,
095,29,6,2005,2022,1,4,40,
095,29,7,2005,2022,1,4,56,
095,29,8,2005,2022,1,2,10,
095,29,9,2005,2022,1,2,12,
095,29,10,2005,2022,1,2,13,
